ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
258,0,Ghana ,0,-1.18135,9.63061,102162.19,10-01-88,10-11-88,News,0,3000,Heavy rain,1.0
358,0,Ghana,0,-0.7820369999999999,9.4963,15897.07,08-25-89,08-29-89,News,2,400,Heavy rain,1.0
540,0,Ghana,0,-0.188618,6.10806,36967.57,07-14-91,07-16-91,News,5,0,Heavy rain,1.0
971,0,Ghana,0,-1.06662,6.4376,120779.51,07-05-95,07-07-95,News,22,55000,Heavy rain,2.0
1242,0,Ghana,0,0.117668,5.75584,4329.97,06-12-97,06-15-97,News,6,0,Heavy rain,1.0
1460,0,Ghana,0,-0.150337,5.93195,25281.98,10-19-98,10-24-98,News,3,0,Heavy rain,1.0
1551,0,Ghana ,0,1.79199,11.1616,126690.79,09-03-99,09-13-99,News,1,9000,Heavy rain,1.0
1740,0,Ghana ,0,-0.290265,5.67504,417.102,06-27-01,06-30-01,News,12,80000,Monsoonal rain,1.0
1861,0,Ghana,0,-0.1965379999999999,5.64745,867.248,01-06-02,01-08-02,News,0,0,Heavy rain,1.0
1947,0,Ghana,0,-0.1965379999999999,5.64745,867.248,06-10-02,06-12-02,News,0,0,Heavy rain,1.0
3166,FL-2007-000132-BFA,Ghana,,0.612005,13.0377,1695464.52,07-26-07,10-10-07,News,153,540000,Heavy rain,1.5
3486,0,Ghana,,-0.099363,5.73317,9340.14,05-25-09,05-26-09,News,115,20000,Tropical Storm,1.5
3501,,Ghana,0,-1.03826,6.20262,77546.62,07-06-09,07-17-09,0,5,300,Heavy Rain,1.0
3542,0,Ghana,0,-0.992335,8.85094,73811.61,09-17-09,09-21-09,0,0,5000,"Heavy Rain, Dam Release",2.0
3663,0,Ghana,0,-0.981038,7.93162,150908.11,06-22-10,06-26-10,0,30,0,Heavy Rain,1.0
3747,0,Ghana,0,-0.809999,8.28,4567.71,11-05-10,11-11-10,News,0,2600,Heavy Rain,1.5
3844,,Ghana,,-0.4522559999999999,7.84386,55103.28,07-22-11,07-29-11,News,6,12571,Heavy Rain,1.0
3872,,Ghana,,-0.945865,5.58466,9829.52,10-26-11,10-29-11,News,14,43000,Torrential Rain,1.0
4260,FL-2015-000065-GHA,Ghana,Togo,-0.5464419999999999,7.38005,266950.09,06-02-15,06-15-15,News,150,5300,Torrential Rain,1.5
4361,,Ghana,,-1.16503,6.41411,74506.4,06-12-16,06-21-16,News,5,0,Heavy Rain,1.0
4631,,Ghana,Ivory Coast,-2.64964,5.59584,58480.1,06-18-18,06-19-18,FloodList,21,115,Torrential Rain,1.0
4638,,Ghana,,-1.70939,6.78596,23280.81,06-28-18,07-02-18,FloodList,5,500,Heavy Rain,1.5
4683,,Ghana,,-1.06606,9.53755,83997.78,09-01-18,10-02-18,FloodList,34,100000,"Heavy Rain, Dam releases",1.5
4819,,Ghana,,0.146375,5.81812,7285.63,10-25-19,10-30-19,FloodList,0,0,Heavy Rain,1.0
